,Survived
813,0
814,0
815,0
816,1
817,0
818,0
819,0
820,0
821,0
822,0
823,1
824,0
825,1
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,0
838,1
839,0
840,0
841,0
842,0
843,1
844,0
845,1
846,0
847,0
848,1
849,0
850,1
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,0
859,0
860,0
861,0
862,1
863,1
864,0
865,0
866,0
867,1
868,1
869,0
870,0
871,0
872,1
873,0
874,0
875,0
876,1
877,0
878,0
879,1
880,0
881,0
882,0
883,1
884,1
885,0
886,1
887,0
888,1
889,1
890,0
891,1
892,1
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,1
904,0
905,0
906,1
907,0
908,0
909,1
910,0
911,1
912,0
913,1
914,0
915,0
916,0
917,1
918,1
919,0
920,1
921,0
922,1
923,1
924,0
925,0
926,0
927,0
928,1
929,0
930,1
931,0
932,1
933,0
934,0
935,1
936,1
937,0
938,0
939,0
940,0
941,1
942,1
943,0
944,0
945,0
946,1
947,0
948,0
949,0
950,0
951,1
952,1
953,0
954,1
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,1
966,0
967,1
968,0
969,0
970,0
971,1
972,0
973,0
974,1
975,0
976,0
977,1
978,0
979,0
980,0
981,0
982,1
983,0
984,0
985,0
986,1
987,0
988,0
989,1
990,0
991,0
992,1
993,0
994,1
995,1
996,0
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,1
1005,1
1006,1
1007,0
1008,0
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1025,1
1026,0
1027,0
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,1
1035,0
1036,1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,1
